date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/11/21,10,-,89688529,십이월 이십오일의 고백,정승환,1,16336.0,1300.0,3695915,954678
2019/12/11/22,10,-,89688529,십이월 이십오일의 고백,정승환,1,15269.0,1196.0,3711184,955874
2019/12/11/23,9,1,89688529,십이월 이십오일의 고백,정승환,1,15089.0,1210.0,3726273,957084
2019/12/12/0,9,-,89688529,십이월 이십오일의 고백,정승환,1,12482.0,838.0,3738755,957922
2019/12/12/1,8,1,89688529,십이월 이십오일의 고백,정승환,1,9657.0,602.0,3748412,958524
2019/12/12/2,8,1,89688529,십이월 이십오일의 고백,정승환,1,7658.0,451.0,3756070,958975
2019/12/12/3,8,1,89688529,십이월 이십오일의 고백,정승환,1,5897.0,328.0,3761967,959303
2019/12/12/4,8,1,89688529,십이월 이십오일의 고백,정승환,1,4525.0,210.0,3766492,959513
2019/12/12/5,8,1,89688529,십이월 이십오일의 고백,정승환,1,3999.0,174.0,3770491,959687
2019/12/12/6,8,1,89688529,십이월 이십오일의 고백,정승환,1,3894.0,178.0,3774385,959865
2019/12/12/7,8,-,89688529,십이월 이십오일의 고백,정승환,1,6195.0,383.0,3780580,960248
2019/12/12/8,7,1,89688529,십이월 이십오일의 고백,정승환,1,17183.0,1393.0,3797763,961641
2019/12/12/9,8,1,89688529,십이월 이십오일의 고백,정승환,1,26819.0,2159.0,3824582,963800
2019/12/12/10,9,1,89688529,십이월 이십오일의 고백,정승환,1,18370.0,1562.0,3842952,965362
2019/12/12/11,10,1,89688529,십이월 이십오일의 고백,정승환,1,16243.0,1453.0,3859195,966815
2019/12/12/12,9,1,89688529,십이월 이십오일의 고백,정승환,1,15305.0,1273.0,3874500,968088
2019/12/12/13,9,-,89688529,십이월 이십오일의 고백,정승환,1,15401.0,1218.0,3889901,969306
2019/12/12/14,9,-,89688529,십이월 이십오일의 고백,정승환,1,16540.0,1320.0,3906441,970626
2019/12/12/15,10,1,89688529,십이월 이십오일의 고백,정승환,1,16525.0,1407.0,3922966,972033
2019/12/12/16,10,-,89688529,십이월 이십오일의 고백,정승환,1,16569.0,1262.0,3939535,973295
2019/12/12/17,10,-,89688529,십이월 이십오일의 고백,정승환,1,17132.0,1256.0,3956667,974551
