sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
89602795,When I Am Older,Josh Gad,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
88511064,옥탑방 (Rooftop),엔플라잉 (N.Flying),싱글,2019.01.02,댄스/팝,팝 락,FNC엔터테인먼트,카카오엔터테인먼트
88715422,안녕이라는 말,송이한,싱글,2019.03.25,알앤비/소울,알앤비,뮤직디자인,카카오엔터테인먼트
87752744,FRIENDS,Marshmello & Anne-Marie,정규,2018.04.27,알앤비/소울,알앤비,Atlantic Records UK,워너뮤직코리아
89258787,ICY,ITZY (있지),EP(미니),2019.07.29,댄스/팝,댄스 팝,JYP엔터테인먼트,Dreamus
89678631,제목없음,황치열,싱글,2019.12.03,발라드,발라드,하우엔터테인먼트,카카오엔터테인먼트
89602841,숨겨진 세상 (겨울왕국 2),박혜나 & AURORA,OST,2019.11.15,댄스/팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89408689,이별행동,이우,싱글,2019.10.06,발라드,발라드,㈜다날엔터테인먼트,다날엔터테인먼트
87512697,지나오다,닐로 (Nilo),EP(미니),2017.10.31,발라드,발라드,닐로 컴퍼니,Various
87730738,눈사람,정승환,정규,2018.02.19,발라드,발라드,안테나,카카오엔터테인먼트
86868163,Shape Of You,Ed Sheeran,정규,2021.01.21,팝,팝,Attic Studio,"Orchard Enterprises NY, Inc."
89623205,우리 왜 헤어져야 해,신예영,싱글,2019.11.20,발라드,발라드,㈜ 스튜디오 오드리,카카오엔터테인먼트
89226517,내 안부,이우,싱글,2019.07.16,발라드,발라드,주식회사 소리바다,카카오엔터테인먼트
88510820,사계 (하루살이),엠씨더맥스 (M.C the MAX),정규,2019.01.02,발라드,발라드,325 이엔씨,카카오엔터테인먼트
86432095,The Ocean (Feat. Shy Martin),Mike Perry,싱글,2016.04.15,일렉트로닉,하우스,DF Records,Sony Music
89690952,잘자 (Feat. Zion.T),Crush,정규,2019.12.05,알앤비/소울,알앤비,피네이션,Dreamus
89655997,Obsession 중국어버전,EXO,,,,,,
82159269,Let It Go,Idina Menzel,OST,2013.01.01,팝,애니메이션,Walt Disney Records,유니버설뮤직코리아
81657574,크리스마스니까,성시경 & 박효신 & 이석훈 & 서인국 & VIXX (빅스),싱글,2012.12.06,캐롤,캐롤,젤리피쉬엔터테인먼트,카카오엔터테인먼트
88504833,벌써 12시,청하,싱글,2019.01.02,댄스/팝,댄스 팝,MNH Entertainment,"지니뮤직, Stone Music Entertainment"
89545653,FLOWER SHOWER,현아,싱글,2019.11.05,댄스/팝,댄스 팝,피네이션,카카오엔터테인먼트
88352905,"thank u, next",Ariana Grande,싱글,2018.11.03,팝,팝,Universal Records,유니버설뮤직코리아
87998685,여행,볼빨간사춘기,EP(미니),2018.05.24,인디,팝 락,쇼파르뮤직,NHN벅스
89675403,와츠롱 (Feat. YUNHWAY),기리보이,정규,2019.12.02,랩/힙합,랩,린치핀뮤직㈜,카카오엔터테인먼트
86868102,첫눈처럼 너에게 가겠다,에일리 (Ailee),OST,2017.01.07,OST,TV 드라마,"Stone Music Entertainment, 화앤담픽쳐스","지니뮤직, Stone Music Entertainment"
88510821,넘쳐흘러,엠씨더맥스 (M.C the MAX),정규,2019.01.02,발라드,발라드,325 이엔씨,카카오엔터테인먼트
88773174,소우주 (Mikrokosmos),방탄소년단,EP(미니),2019.04.12,랩/힙합,알앤비,BIGHIT MUSIC,YG PLUS
89671630,빌었어,창모 (CHANGMO),정규,2019.11.29,랩/힙합,랩,앰비션뮤직,"지니뮤직, Stone Music Entertainment"
88194599,IDOL,방탄소년단,정규,2018.08.24,랩/힙합,힙합,BIGHIT MUSIC,YG PLUS
85433670,YOUTH,Troye Sivan,싱글,2016.03.18,,반주음악,Symphonic,케이디지털미디어
87315030,취하고 싶다 (Prod. by 전태익),황인욱,싱글,2017.07.28,발라드,락 발라드,678 MUSIC,카카오엔터테인먼트
88728543,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),EP(미니),2019.04.01,발라드,발라드,SM ENTERTAINMENT,Dreamus
87271938,선물,멜로망스 (MeloMance),EP(미니),2017.07.10,인디,발라드,주식회사 엠피엠지,카카오엔터테인먼트
89276181,그 끝에 그대,청하,OST,2019.08.03,발라드,발라드,냠냠엔터테인먼트,Dreamus
89664509,터널,세정,싱글,2019.12.02,발라드,발라드,젤리피쉬 엔터테인먼트,카카오엔터테인먼트
88559277,7 rings,Ariana Grande,싱글,2019.01.18,팝,팝,Universal Records,유니버설뮤직코리아
88607738,달라달라,ITZY (있지),싱글,2019.02.12,댄스/팝,댄스 팝,JYP 엔터테인먼트,Dreamus
87101034,Attention,Charlie Puth,싱글,2017.05.05,팝,팝,Billboard Masters,플럭서스
88295011,고백,양다일,싱글,2018.10.15,발라드,발라드,브랜뉴뮤직,카카오엔터테인먼트
89126699,Snapping,청하,EP(미니),2019.06.24,댄스/팝,댄스 팝,MNH Entertainment,"지니뮤직, Stone Music Entertainment"
89188183,인사,멜로망스 (MeloMance),싱글,2019.07.09,인디,발라드,주식회사 엠피엠지,카카오엔터테인먼트
89357135,25,볼빨간사춘기,EP(미니),2019.09.10,인디,팝 락,쇼파르뮤직,NHN벅스
88732246,"나만, 봄",볼빨간사춘기,EP(미니),2019.04.02,인디,포크 팝,쇼파르뮤직,NHN벅스
88244288,이별하러 가는 길,임한별,싱글,2018.09.13,발라드,발라드,모스트웍스,카카오엔터테인먼트
89064462,아퍼 (Feat. Kid Milli & Lil tachi & 김승민 & NO:EL & C JAMM),기리보이,정규,2019.06.10,랩/힙합,랩,린치핀뮤직㈜,카카오엔터테인먼트
88557156,초록빛,폴킴,싱글,2019.01.17,발라드,발라드,뉴런뮤직,카카오엔터테인먼트
89683627,넌 나의 전부 (I can't take my eyes off you),임한별,싱글,2019.12.04,발라드,발라드,모스트웍스,카카오엔터테인먼트
88316432,내 생에 아름다운,케이윌 (K.Will),OST,2018.10.23,발라드,발라드,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴
88251225,가을 타나 봐,바이브,싱글,2018.09.18,발라드,발라드,메이저나인,지니뮤직
85803478,Faded,Alan Walker,정규,2016.08.21,팝,팝,EDEN records,(주)뮤직트리엔터테인먼트
88353726,너는 어땠을까,노을,EP(미니),2018.11.05,발라드,발라드,씨제스엔터테인먼트,카카오엔터테인먼트
89382910,달,AKMU (악동뮤지션),정규,2019.09.25,포크/어쿠스틱,발라드,YG Entertainment,YG PLUS
89148273,괜찮아도 괜찮아 (That's okay),디오 (D.O.),싱글,2019.07.01,알앤비/소울,알앤비,SM ENTERTAINMENT,Dreamus
89523985,이별은 늘 그렇게 (Duet. 정은지),허각,싱글,2019.10.31,발라드,발라드,(주)플레이엠 엔터테인먼트,카카오엔터테인먼트
89647585,TOUCHIN',강다니엘,싱글,2019.11.25,댄스/팝,댄스 팝,KONNECT ENTERTAINMENT,Sony Music
87579522,그날처럼,장덕철,싱글,2017.11.28,댄스/팝,발라드,리메즈,카카오엔터테인먼트
82689882,Chandelier,Sia,EP(미니),2015.05.12,팝,팝,Sony Music Entertainment,Sony Music
88353506,YES or YES,TWICE (트와이스),EP(미니),2018.11.05,댄스/팝,댄스 팝,JYP 엔터테인먼트,Dreamus
89165593,비가 내리는 날에는,윤하 (YOUNHA),EP(미니),2019.07.02,발라드,발라드,C9엔터테인먼트,카카오엔터테인먼트
88890308,Goodbye,박효신,싱글,2019.05.06,발라드,발라드,글러브엔터테인먼트,Dreamus
87463712,나의 사춘기에게,볼빨간사춘기,EP(미니),2017.09.28,인디,인디 팝,쇼파르뮤직,NHN벅스
89492483,우린 결국 다시 만날 운명이었지 (Destiny),마마무(Mamamoo),컴필레이션,2019.10.25,댄스/팝,댄스 팝,"㈜알비더블유, Stone Music Entertainment",지니뮤직
89588395,운명이 내게 말해요,헤이즈 (Heize),OST,2019.11.13,OST,알앤비,"㈜팬엔터테인먼트, 모스트콘텐츠",NHN벅스
89257070,내 맘을 볼 수 있나요,헤이즈 (Heize),OST,2019.07.28,발라드,발라드,냠냠엔터테인먼트,Dreamus
