sing_id,artist_name,artist_url,유형,국적,장르,데뷔
91105305,박원,https://music.bugs.co.kr/artist/80069220?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2010.0
91105306,박원,https://music.bugs.co.kr/artist/80069220?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2010.0
91105303,박원,https://music.bugs.co.kr/artist/80069220?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2010.0
91123274,적재,https://music.bugs.co.kr/artist/8008787?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,발라드",
91134598,장범준,https://music.bugs.co.kr/artist/80110450?wl_ref=S_ab_01_02,솔로(남성),대한민국,락/메탈,2011.0
91097800,저스디스(JUSTHIS),https://music.bugs.co.kr/artist/80206219?wl_ref=S_ab_01_02,솔로(남성),대한민국,랩/힙합,2015.0
91134144,손승연,https://music.bugs.co.kr/artist/80125042?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,2012.0
91130710,신예영,https://music.bugs.co.kr/artist/80267940?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,
91134230,김필(KimFeel),https://music.bugs.co.kr/artist/80108222?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2011.0
91134384,마크툽(MAKTUB),https://music.bugs.co.kr/artist/80109484?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,알앤비/소울",2011.0
91134384,이라온,https://music.bugs.co.kr/artist/80204221?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,알앤비/소울",
91134523,옹성우,https://music.bugs.co.kr/artist/80288428?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드,알앤비/소울",2017.0
91134314,승희(오마이걸),https://music.bugs.co.kr/artist/80226923?wl_ref=S_ab_01_02,솔로(여성),대한민국,"발라드,OST",2015.0
91134314,지호(오마이걸),https://music.bugs.co.kr/artist/80226924?wl_ref=S_ab_01_02,솔로(여성),대한민국,"인디,OST",2015.0
